exit_date,pnl,pnlcomm,barlen,commission,entry_price,exit_price
2018-05-16,-1798.2115446113908,-1986.6145342911086,3,188.40298967971773,44.66914072905804,44.33815383911133
2018-07-31,-1423.6286154123673,-1608.5258212784638,4,184.89720586609658,45.51070700574229,44.835296630859375
2019-03-13,5725.1219998386405,5535.608511816043,19,189.51348802259776,40.86001912466854,43.29869079589844
2019-08-01,5899.406378606919,5699.928475829605,21,199.4779027773139,48.20181683234735,49.85691452026367
2020-05-06,4841.078864636082,4636.986990631222,3,204.09187400485902,69.13629255385945,72.57312774658203
2020-11-11,-1119.0288077580242,-1330.2417967090616,3,211.2129889510375,115.02276151614058,116.10209655761719
2021-04-21,-2182.9814307746506,-2391.9128302957533,1,208.93139952110278,131.45353732993613,129.9087371826172
2021-07-07,6572.810650976875,6360.105050819121,5,212.70560015775402,131.46223820585277,140.91989135742188
2021-11-11,-2228.5283062901854,-2446.1797263807157,4,217.65142009053045,148.5675327005545,144.5631866455078
2022-04-12,-2750.4910768432237,-2958.0710958886575,4,207.58001904543394,168.80458276266225,164.1195068359375
2022-07-27,-1408.6927808388405,-1617.312031819181,4,208.61925098034033,151.5353129590037,153.70449829101562
2023-02-13,-991.3558247547994,-1192.6975951350469,5,201.34177038024757,150.09875831231628,151.51341247558594
2023-12-14,5386.501228218309,5178.177085609262,20,208.32414260904756,185.84033093482532,195.89260864257812
2024-05-21,4999.37404218016,4782.071595290237,8,217.30244688992263,180.8373703984178,190.69810485839844
2024-09-04,-3147.459194851564,-3365.669575078706,4,218.21038022714234,226.33725912269315,219.20677185058594
2024-12-24,5482.3623179738315,5261.507605219135,14,220.8547127546967,241.44882335955478,256.56085205078125
