window,is_range,oos_range,opt_sma_fast,opt_sma_slow,opt_rsi_trigger,is_return_pct,is_cagr_pct,is_sharpe,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_max_dd_pct,oos_trades_count
1,2018-01-02 to 2020-01-01,2020-01-02 to 2020-07-01,25,50,50,15.253045710999272,7.3821424807854585,1.4951143498717354,5.389507054254383,11.174220077777752,3.145631193677475,0.0,1
2,2018-07-02 to 2020-07-01,2020-07-02 to 2021-01-01,25,50,50,17.992528574326148,8.630520831887045,1.843114421330662,-4.24148363785223,-8.330356721330933,-1.6921292251584115,4.24148363785223,1
3,2019-01-02 to 2021-01-01,2021-01-02 to 2021-07-01,20,50,60,10.14218777863236,4.959079101631092,1.3386584380451754,-0.5937714719565993,-1.2145942094212714,-0.4206288802233032,2.156615471461031,2
4,2019-07-02 to 2021-07-01,2021-07-02 to 2022-01-01,20,60,60,0.623370429676681,0.3114144674818631,0.9560379528943547,-1.8205271405536332,-3.6200738834586854,-1.2491842687447519,2.3330846280178377,1
5,2020-01-02 to 2022-01-01,2022-01-02 to 2022-07-01,15,60,55,14.387357019456948,6.966816927823172,1.6372554473049938,-2.1381742086674493,-4.314431585613276,-0.927580311412179,4.0228902114826175,1
6,2020-07-02 to 2022-07-01,2022-07-02 to 2023-01-01,15,50,60,5.620295778603977,2.777516945899605,1.1656509176016578,0.0,0.0,0.0,0.0,0
7,2021-01-02 to 2023-01-01,2023-01-02 to 2023-07-01,15,50,50,14.426630798669487,7.025078419029596,1.4143655271807112,0.0,0.0,0.0,0.0,0
8,2021-07-02 to 2023-07-01,2023-07-02 to 2024-01-01,15,50,50,10.606157812453283,5.187667198257739,1.092451323484857,4.999213102797803,10.466395341311152,1.8291220314281302,1.2488328725258149,1
9,2022-01-02 to 2024-01-01,2024-01-02 to 2024-07-01,15,45,60,10.633722460945776,5.222891644981775,1.2350255182629661,4.13386329407859,8.517514867642696,2.336082879029168,0.6573427209134882,1
